Sr No,Sensor,Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading
1586958692812087292,sensor03,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-13 03:19:00,12.96448,False
1586958692812190585,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:58:00,5.55,False
1586958692812882863,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:38:00,3.893,False
1586958692813630370,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:58:00,20.675,False
1586958692815543947,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:58:00,46.671,False
1586958692815669388,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:38:00,1.57,False
1586958692816974926,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:58:00,8.968,False
1586958692818088971,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:39:00,-4.02625,True
1586958692818919172,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:58:00,2.82,False
1586958692821044992,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:58:00,10.833,False
1586958692821235098,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:39:00,16.6286,False
1586958692821889842,sensor03,PER_AIRMON_MESH1976150,O3,ppb,2018-12-13 03:19:00,21.749,False
1586958692822031393,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:58:00,23.707,False
1586958692822868327,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:39:00,21.429,False
1586958692823829198,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:58:00,13.879,False
1586958692825326957,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:39:00,1.63,False
1586958692825424697,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:59:00,-3.75375,True
1586958692827541161,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:59:00,48.99092,False
1586958692827723887,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:39:00,2.173,False
1586958692828678149,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:59:00,9.262,False
1586958692830660568,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:59:00,1.53,False
1586958692830850955,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:39:00,9.103,False
1586958692832648890,sensor03,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-13 03:19:00,6.153,False
1586958692832859784,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:59:00,10.939,False
1586958692833012514,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:39:00,3.271,False
1586958692833581390,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:59:00,19.25,False
1586958692835537757,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:59:00,13.845,False
1586958692835662965,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:39:00,1.33,False
1586958692837627179,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:59:00,5.2,False
1586958692837877545,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:40:00,1.94,False
1586958692838473338,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:00:00,12.566,False
1586958692840415420,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:00:00,25.386,False
1586958692840613099,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:40:00,15.77884,False
1586958692842392666,sensor03,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:19:00,21.798,False
1586958692842577101,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:00:00,10.567,False
1586958692842831934,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:40:00,23.384,False
1586958692843853528,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:00:00,3.7,False
1586958692845295586,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:00:00,-0.286,False
1586958692845394913,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:40:00,1.77,False
1586958692847248215,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:00:00,38.36328,False
1586958692848235324,sensor02,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:40:00,2.386,False
1586958692849214560,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:00:00,10.2325,False
1586958692850204892,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:00:00,4.96,False
1586958692850395423,sensor02,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:40:00,10.542,False
1586958692851909502,sensor03,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-13 03:19:00,9.054,False
1586958692852067688,sensor01,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 13:01:00,4.89,False
1586958692852794171,sensor02,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:40:00,4.239,False
1586958692853602897,sensor01,PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 13:01:00,12.428,False
1586958692855290040,sensor02,PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:40:00,2.14,False
1586958692855558584,sensor01,PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 13:01:00,21.067,False
1586958692857056127,sensor01,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 13:01:00,10.302,False
1586958692858065069,sensor02,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:41:00,-3.66625,True
1586958692858993760,sensor01,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 13:01:00,2.47,False
1586958692861814605,sensor02,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:41:00,23.8572,False
1586958692862035566,sensor03,PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-13 03:19:00,6.53,False
1586958692862153018,sensor01,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 13:01:00,4.464,False
1586958692862156690,sensor01,PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 13:01:00,43.36596,False
1586958692862725292,sensor02,PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:41:00,19.283,False
1586958692864397778,sensor01,PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 13:01:00,48.95875,False
1586958692865341311,sensor02,PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:41:00,1.08,False
