Name,Variable,Units,Timestamp,Flagged as Suspect Reading,Value
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:54:00,False,24.0575
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 00:36:00,False,0.48625
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:54:00,False,47.97948
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 00:36:00,False,16.92752
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-13 03:18:00,False,4.055
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:54:00,False,8.218
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 00:36:00,False,17.747
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 12:54:00,False,11.577
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 12:54:00,False,27.511999999999997
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 00:36:00,False,1.94
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 12:54:00,False,14.743
PER_AIRMON_MESH1976150,PM1,ugm -3,2018-12-14 00:36:00,False,2.226
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 12:54:00,False,5.67
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:54:00,False,3.68
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-14 00:36:00,False,10.577
PER_AIRMON_MESH1976150,PM10,ugm -3,2018-12-13 03:18:00,False,14.604000000000001
PER_AIRMON_MESH1976150,NO,ugm -3,2018-12-14 12:55:00,False,12.98
PER_AIRMON_MESH1976150,PM2.5,ugm -3,2018-12-14 00:36:00,False,3.6510000000000002
PER_AIRMON_MESH1976150,NO2,ugm -3,2018-12-14 12:55:00,False,52.70768
PER_AIRMON_MESH1976150,O3,ppb,2018-12-14 12:55:00,False,2.461
PER_AIRMON_MESH1976150,PM 4,ugm -3,2018-12-14 00:36:00,False,1.52
PER_AIRMON_MESH1976150,Particle Count,Kgm -3,2018-12-14 12:55:00,False,2.96
